P0 ............ [(7, 0.5), (4, 0.5)]
P0 ....x....... [(1, 0.143), (2, 0.143), (9, 0.357), (8, 0.357)]
P0 .......x.... [(10, 0.143), (9, 0.143), (2, 0.357), (3, 0.357)]
P0 ....x...o... [(9, 1.0)]
P0 xo.xo.xx..ox [(9, 1)]
P0 xoo.xx.ox.ox [(3, 1)]
P0 xo.xo.xx.oox [(8, 1)]
P0 ....xx.ox.x. [(0, 1)]
P0 .x.xo.xx.... [(11, 1)]
P0 o...xx.ox.x. [(1, 1)]
P0 .x.xo.xx...o [(10, 1)]
P0 oo..xx.ox.x. [(2, 1)]
P0 .x.xo.xx..oo [(9, 1)]
P0 x...xx.ox.x. [(1, 1)]
P0 .x.xo.xx...x [(10, 1)]
P0 xo..xx.ox.x. [(2, 1)]
P0 .x.xo.xx..ox [(9, 1)]
P0 xoo.xx.ox.x. [(3, 1)]
P0 .x.xo.xx.oox [(8, 1)]
P0 ..o.xx.ox... [(0, 1)]
P0 ...xo.xx.o.. [(11, 1)]
P0 o.o.xx.ox... [(1, 1)]
P0 ...xo.xx.o.o [(10, 1)]
P0 oxo.xx.ox... [(3, 1)]
P0 ...xo.xx.oxo [(8, 1)]
P0 oxooxx.ox... [(6, 1)]
P0 ...xo.xxooxo [(5, 1)]
P0 oxooxxxox... [(9, 1)]
P0 ...xoxxxooxo [(2, 1)]
P0 oxooxxxoxo.. [(10, 1)]
P0 ..oxoxxxooxo [(1, 1)]
P0 oxoxxx.ox... [(6, 1)]
P0 ...xo.xxxoxo [(5, 1)]
P0 oxoxxxoox... [(9, 1)]
P0 ...xooxxxoxo [(2, 1)]
P0 oxoxxxooxo.. [(10, 1)]
P0 ..oxooxxxoxo [(1, 1)]
P0 x.o.xx.ox... [(1, 1)]
P0 ...xo.xx.o.x [(10, 1)]
P0 xoo.xx.ox... [(3, 1)]
P0 ...xo.xx.oox [(8, 1)]
P0 xooxxx.ox... [(6, 1)]
P0 ...xo.xxxoox [(5, 1)]
P0 xxo.xx.ox... [(3, 1)]
P0 ...xo.xx.oxx [(8, 1)]
P0 xxooxx.ox... [(6, 1)]
P0 ...xo.xxooxx [(5, 1)]
P0 xxooxxoox... [(9, 1)]
P0 ...xooxxooxx [(2, 1)]
P0 xxooxxooxo.. [(10, 1)]
P0 ..oxooxxooxx [(1, 1)]
P0 ....x..xx... [(0, 1)]
P0 ...xx..x.... [(11, 1)]
P0 o...x..xx... [(1, 1)]
P0 ...xx..x...o [(10, 1)]
P0 oo..x..xx... [(2, 1)]
P0 ...xx..x..oo [(9, 1)]
P0 oox.x..xx... [(3, 1)]
P0 ...xx..x.xoo [(8, 1)]
P0 ooxox..xx... [(5, 1)]
P0 ...xx..xoxoo [(6, 1)]
P0 ooxoxo.xx... [(6, 1)]
P0 ...xx.oxoxoo [(5, 1)]
P0 ooxoxoxxx... [(9, 1)]
P0 ...xxxoxoxoo [(2, 1)]
P0 ooxoxoxxxo.. [(10, 1)]
P0 ..oxxxoxoxoo [(1, 1)]
P0 ooxoxx.xx... [(6, 1)]
P0 ...xx.xxoxoo [(5, 1)]
P0 ooxoxxoxx... [(9, 1)]
P0 ...xxoxxoxoo [(2, 1)]
P0 ooxoxxoxxo.. [(10, 1)]
P0 ..oxxoxxoxoo [(1, 1)]
P0 ooxxx..xx... [(5, 1)]
P0 ...xx..xxxoo [(6, 1)]
P0 ooxxxo.xx... [(6, 1)]
P0 ...xx.oxxxoo [(5, 1)]
P0 ooxxxooxx... [(9, 1)]
P0 ...xxooxxxoo [(2, 1)]
P0 ooxxxooxxo.. [(10, 1)]
P0 ..oxxooxxxoo [(1, 1)]
P0 ox..x..xx... [(2, 1)]
P0 ...xx..x..xo [(9, 1)]
P0 oxo.x..xx... [(3, 1)]
P0 ...xx..x.oxo [(8, 1)]
P0 oxoox..xx... [(5, 1)]
P0 ...xx..xooxo [(6, 1)]
P0 oxooxo.xx... [(6, 1)]
P0 ...xx.oxooxo [(5, 1)]
P0 oxooxoxxx... [(9, 1)]
P0 ...xxxoxooxo [(2, 1)]
P0 oxooxoxxxo.. [(10, 1)]
P0 ..oxxxoxooxo [(1, 1)]
P0 oxooxx.xx... [(6, 1)]
P0 ...xx.xxooxo [(5, 1)]
P0 oxooxxoxx... [(9, 1)]
P0 ...xxoxxooxo [(2, 1)]
P0 oxooxxoxxo.. [(10, 1)]
P0 ..oxxoxxooxo [(1, 1)]
P0 oxoxx..xx... [(5, 1)]
P0 ...xx..xxoxo [(6, 1)]
P0 oxoxxo.xx... [(6, 1)]
P0 ...xx.oxxoxo [(5, 1)]
P0 oxoxxooxx... [(9, 1)]
P0 ...xxooxxoxo [(2, 1)]
P0 oxoxxooxxo.. [(10, 1)]
P0 ..oxxooxxoxo [(1, 1)]
P0 oxx.x..xx... [(3, 1)]
P0 ...xx..x.xxo [(8, 1)]
P0 oxxox..xx... [(5, 1)]
P0 ...xx..xoxxo [(6, 1)]
P0 oxxoxo.xx... [(6, 1)]
P0 ...xx.oxoxxo [(5, 1)]
P0 oxxoxooxx... [(9, 1)]
P0 ...xxooxoxxo [(2, 1)]
P0 oxxoxooxxo.. [(10, 1)]
P0 ..oxxooxoxxo [(1, 1)]
P0 x...x..xx... [(1, 1)]
P0 ...xx..x...x [(10, 1)]
P0 xo..x..xx... [(2, 1)]
P0 ...xx..x..ox [(9, 1)]
P0 xoo.x..xx... [(3, 1)]
P0 ...xx..x.oox [(8, 1)]
P0 xooxx..xx... [(5, 1)]
P0 ...xx..xxoox [(6, 1)]
P0 xooxxo.xx... [(6, 1)]
P0 ...xx.oxxoox [(5, 1)]
P0 xox.x..xx... [(3, 1)]
P0 ...xx..x.xox [(8, 1)]
P0 xoxox..xx... [(5, 1)]
P0 ...xx..xoxox [(6, 1)]
P0 xoxoxo.xx... [(6, 1)]
P0 ...xx.oxoxox [(5, 1)]
P0 xoxoxooxx... [(9, 1)]
P0 ...xxooxoxox [(2, 1)]
P0 xoxoxooxxo.. [(10, 1)]
P0 ..oxxooxoxox [(1, 1)]
P0 xx..x..xx... [(2, 1)]
P0 ...xx..x..xx [(9, 1)]
P0 xxo.x..xx... [(3, 1)]
P0 ...xx..x.oxx [(8, 1)]
P0 xxoox..xx... [(5, 1)]
P0 ...xx..xooxx [(6, 1)]
P0 xxooxo.xx... [(6, 1)]
P0 ...xx.oxooxx [(5, 1)]
P0 xxooxooxx... [(9, 1)]
P0 ...xxooxooxx [(2, 1)]
P0 xxooxooxxo.. [(10, 1)]
P0 ..oxxooxooxx [(1, 1)]
P0 ....x....o.. [(0, 1)]
P0 ..o....x.... [(11, 1)]
P0 x...x....o.. [(1, 1)]
P0 ..o....x...x [(10, 1)]
P0 xo..x....o.. [(2, 1)]
P0 ..o....x..ox [(9, 1)]
P0 xox.x....o.. [(3, 1)]
P0 ..o....x.xox [(8, 1)]
P0 xoxox....o.. [(5, 1)]
P0 ..o....xoxox [(6, 1)]
P0 xoxoxx...o.. [(6, 1)]
P0 ..o...xxoxox [(5, 1)]
P0 xoxoxxo..o.. [(7, 1)]
P0 ..o..oxxoxox [(4, 1)]
P0 xoxoxxox.o.. [(8, 1)]
P0 ..o.xoxxoxox [(3, 1)]
P0 xoxoxxoxoo.. [(10, 1)]
P0 ..ooxoxxoxox [(1, 1)]
P0 xoxoxxx..o.. [(7, 1)]
P0 ..o..xxxoxox [(4, 1)]
P0 xoxoxxxo.o.. [(8, 1)]
P0 ..o.oxxxoxox [(3, 1)]
P0 xoxxx....o.. [(5, 1)]
P0 ..o....xxxox [(6, 1)]
P0 xoxxxo...o.. [(6, 1)]
P0 ..o...oxxxox [(5, 1)]
P0 xoxxxoo..o.. [(7, 1)]
P0 ..o..ooxxxox [(4, 1)]
P0 xoxxxoox.o.. [(8, 1)]
P0 ..o.xooxxxox [(3, 1)]
P0 xoxxxooxoo.. [(10, 1)]
P0 ..ooxooxxxox [(1, 1)]
P0 xoxxxox..o.. [(7, 1)]
P0 ..o..xoxxxox [(4, 1)]
P0 xoxxxx...o.. [(6, 1)]
P0 ..o...xxxxox [(5, 1)]
P0 xoxxxxo..o.. [(7, 1)]
P0 ..o..oxxxxox [(4, 1)]
P0 xoxxxxoo.o.. [(8, 1)]
P0 ..o.ooxxxxox [(3, 1)]
P0 xx..x....o.. [(2, 1)]
P0 ..o....x..xx [(9, 1)]
P0 xxo.x....o.. [(3, 1)]
P0 ..o....x.oxx [(8, 1)]
P0 xxoox....o.. [(5, 1)]
P0 ..o....xooxx [(6, 1)]
P0 xxooxx...o.. [(6, 1)]
P0 ..o...xxooxx [(5, 1)]
P0 xxooxxo..o.. [(7, 1)]
P0 ..o..oxxooxx [(4, 1)]
P0 xxooxxox.o.. [(8, 1)]
P0 ..o.xoxxooxx [(3, 1)]
P0 xxooxxoxoo.. [(10, 1)]
P0 ..ooxoxxooxx [(1, 1)]
P0 xxooxxx..o.. [(7, 1)]
P0 ..o..xxxooxx [(4, 1)]
P0 xxooxxxo.o.. [(8, 1)]
P0 ..o.oxxxooxx [(3, 1)]
P0 xxoxx....o.. [(5, 1)]
P0 ..o....xxoxx [(6, 1)]
P0 xxoxxo...o.. [(6, 1)]
P0 ..o...oxxoxx [(5, 1)]
P0 xxoxxoo..o.. [(7, 1)]
P0 ..o..ooxxoxx [(4, 1)]
P0 xxoxxoox.o.. [(8, 1)]
P0 ..o.xooxxoxx [(3, 1)]
P0 xxoxxooxoo.. [(10, 1)]
P0 ..ooxooxxoxx [(1, 1)]
P0 xxoxxox..o.. [(7, 1)]
P0 ..o..xoxxoxx [(4, 1)]
P0 xxoxxx...o.. [(6, 1)]
P0 ..o...xxxoxx [(5, 1)]
P0 xxoxxxo..o.. [(7, 1)]
P0 ..o..oxxxoxx [(4, 1)]
P0 xxoxxxoo.o.. [(8, 1)]
P0 ..o.ooxxxoxx [(3, 1)]
P0 xxx.x....o.. [(3, 1)]
P0 ..o....x.xxx [(8, 1)]
P0 xxxox....o.. [(5, 1)]
P0 ..o....xoxxx [(6, 1)]
P0 xxxoxo...o.. [(6, 1)]
P0 ..o...oxoxxx [(5, 1)]
P0 xxxoxoo..o.. [(7, 1)]
P0 ..o..ooxoxxx [(4, 1)]
P0 xxxoxoox.o.. [(8, 1)]
P0 ..o.xooxoxxx [(3, 1)]
P0 xxxoxooxoo.. [(10, 1)]
P0 ..ooxooxoxxx [(1, 1)]
P0 xxxoxox..o.. [(7, 1)]
P0 ..o..xoxoxxx [(4, 1)]
P0 xxxoxx...o.. [(6, 1)]
P0 ..o...xxoxxx [(5, 1)]
P0 xxxoxxo..o.. [(7, 1)]
P0 ..o..oxxoxxx [(4, 1)]
P0 xxxoxxoo.o.. [(8, 1)]
P0 ..o.ooxxoxxx [(3, 1)]
P0 xxxxx....o.. [(5, 1)]
P0 ..o....xxxxx [(6, 1)]
P0 xxxxxo...o.. [(6, 1)]
P0 ..o...oxxxxx [(5, 1)]
P0 xxxxxoo..o.. [(7, 1)]
P0 ..o..ooxxxxx [(4, 1)]
P0 ....x....x.. [(0, 1)]
P0 ..x....x.... [(11, 1)]
P0 o...x....x.. [(1, 1)]
P0 ..x....x...o [(10, 1)]
P0 oo..x....x.. [(2, 1)]
P0 ..x....x..oo [(9, 1)]
P0 oox.x....x.. [(3, 1)]
P0 ..x....x.xoo [(8, 1)]
P0 ooxox....x.. [(5, 1)]
P0 ..x....xoxoo [(6, 1)]
P0 ooxoxx...x.. [(6, 1)]
P0 ..x...xxoxoo [(5, 1)]
P0 ooxoxxo..x.. [(7, 1)]
P0 ..x..oxxoxoo [(4, 1)]
P0 ooxxx....x.. [(5, 1)]
P0 ..x....xxxoo [(6, 1)]
P0 ooxxxo...x.. [(6, 1)]
P0 ..x...oxxxoo [(5, 1)]
P0 ooxxxoo..x.. [(7, 1)]
P0 ..x..ooxxxoo [(4, 1)]
P0 ooxxxx...x.. [(6, 1)]
P0 ..x...xxxxoo [(5, 1)]
P0 ooxxxxo..x.. [(7, 1)]
P0 ..x..oxxxxoo [(4, 1)]
P0 ooxxxxoo.x.. [(8, 1)]
P0 ..x.ooxxxxoo [(3, 1)]
P0 ox..x....x.. [(2, 1)]
P0 ..x....x..xo [(9, 1)]
P0 oxo.x....x.. [(3, 1)]
P0 ..x....x.oxo [(8, 1)]
P0 oxoox....x.. [(5, 1)]
P0 ..x....xooxo [(6, 1)]
P0 oxooxx...x.. [(6, 1)]
P0 ..x...xxooxo [(5, 1)]
P0 oxooxxo..x.. [(7, 1)]
P0 ..x..oxxooxo [(4, 1)]
P0 oxoxx....x.. [(5, 1)]
P0 ..x....xxoxo [(6, 1)]
P0 oxoxxo...x.. [(6, 1)]
P0 ..x...oxxoxo [(5, 1)]
P0 oxoxxoo..x.. [(7, 1)]
P0 ..x..ooxxoxo [(4, 1)]
P0 oxoxxx...x.. [(6, 1)]
P0 ..x...xxxoxo [(5, 1)]
P0 oxoxxxo..x.. [(7, 1)]
P0 ..x..oxxxoxo [(4, 1)]
P0 oxoxxxoo.x.. [(8, 1)]
P0 ..x.ooxxxoxo [(3, 1)]
P0 oxx.x....x.. [(3, 1)]
P0 ..x....x.xxo [(8, 1)]
P0 oxxox....x.. [(5, 1)]
P0 ..x....xoxxo [(6, 1)]
P0 oxxoxo...x.. [(6, 1)]
P0 ..x...oxoxxo [(5, 1)]
P0 oxxoxoo..x.. [(7, 1)]
P0 ..x..ooxoxxo [(4, 1)]
P0 oxxoxx...x.. [(6, 1)]
P0 ..x...xxoxxo [(5, 1)]
P0 oxxoxxo..x.. [(7, 1)]
P0 ..x..oxxoxxo [(4, 1)]
P0 oxxoxxoo.x.. [(8, 1)]
P0 ..x.ooxxoxxo [(3, 1)]
P0 oxxxx....x.. [(5, 1)]
P0 ..x....xxxxo [(6, 1)]
P0 oxxxxo...x.. [(6, 1)]
P0 ..x...oxxxxo [(5, 1)]
P0 oxxxxoo..x.. [(7, 1)]
P0 ..x..ooxxxxo [(4, 1)]
P0 x...x....x.. [(1, 1)]
P0 ..x....x...x [(10, 1)]
P0 xo..x....x.. [(2, 1)]
P0 ..x....x..ox [(9, 1)]
P0 xoo.x....x.. [(3, 1)]
P0 ..x....x.oox [(8, 1)]
P0 xooxx....x.. [(5, 1)]
P0 ..x....xxoox [(6, 1)]
P0 xooxxo...x.. [(6, 1)]
P0 ..x...oxxoox [(5, 1)]
P0 xooxxoo..x.. [(7, 1)]
P0 ..x..ooxxoox [(4, 1)]
P0 xooxxx...x.. [(6, 1)]
P0 ..x...xxxoox [(5, 1)]
P0 xooxxxo..x.. [(7, 1)]
P0 ..x..oxxxoox [(4, 1)]
P0 xooxxxoo.x.. [(8, 1)]
P0 ..x.ooxxxoox [(3, 1)]
P0 xox.x....x.. [(3, 1)]
P0 ..x....x.xox [(8, 1)]
P0 xoxox....x.. [(5, 1)]
P0 ..x....xoxox [(6, 1)]
P0 xoxoxo...x.. [(6, 1)]
P0 ..x...oxoxox [(5, 1)]
P0 xoxoxoo..x.. [(7, 1)]
P0 ..x..ooxoxox [(4, 1)]
P0 xoxoxx...x.. [(6, 1)]
P0 ..x...xxoxox [(5, 1)]
P0 xoxoxxo..x.. [(7, 1)]
P0 ..x..oxxoxox [(4, 1)]
P0 xoxoxxoo.x.. [(8, 1)]
P0 ..x.ooxxoxox [(3, 1)]
P0 xoxxx....x.. [(5, 1)]
P0 ..x....xxxox [(6, 1)]
P0 xoxxxo...x.. [(6, 1)]
P0 ..x...oxxxox [(5, 1)]
P0 xoxxxoo..x.. [(7, 1)]
P0 ..x..ooxxxox [(4, 1)]
P0 xx..x....x.. [(2, 1)]
P0 ..x....x..xx [(9, 1)]
P0 xxo.x....x.. [(3, 1)]
